DORIS  ROBERTS
DOROTHY  MALONE
DOUG  BRADLEY
DOUG  COLE	
DOUG  MAC CLURE
DOUGAS  SILVA
DOUGLAS  FAIRBANKS
DOUGLAS SPENCER
DOUGRAY SCOTT
DRAGOS  BUCUR
DREW BARRYMORE
DUDLEY  MOORE
DUHAMEL  JOSH
DUJARDIN JEAN
DUNCAN FRASER
DUNCAN REGEHR
D’URVILLE MARTIN
DUSTIN HOFFMAN								
DUTRONC  JACQUES
DYLAN  JONES
DYLAN  MAC DERMOTT
DYLAN  NEAL   (voir neal dylan)




 EEEEEEEEEEEEEEEEEEEEEE
ED HARRIS
ED  LAUTER
ED QUINN
ED  WYNN
EDDIE  CONTANTINE
EDIE  FALCO
EDDIE  GRIFIN
EDDIE  JONES
EDDIE KAY THOMAS
EDDIE MARSAN
EDDIE  MURPHY
EDISON CHEN
EDITH SCOB
EDMOND  ARDISSON
EDOUARD BAER
EDUARDO NORIEGA  (NORIEGA  EDUARDO)
EDURAD  FERNANDEZ
EDWARD  ANDREWS   (ANDREWS  EDWARD)
EDWARD    BURNS 
EDWARD DE SOUZA 
EDWARD FURLONG
EDWARD  HERRMANN
EDWARD G ROBINSON
EDWARD  HOGG
EDWARD  NORTON  '(NORTON  EDWARD )
EDWIGE  FENECH
EFRON  INES 
EIJI OKADA  (OKADA  EIJI)
EKIN  CHENG
ELAINE  JIN
ELBA  IDRIS  
ELBE   PASCAL   
ELENA ANAYA
ELIAS KOTEAS
ELIE  SEMOUN
ELIJAH WOOD
ELIO  GERMANO
ELISA  TOUFEXIS
ELISABETH   BANKS
ELISABETH OLSEN (OLSEN ELISABETH)
ELISABETH  REASER
ELISABETH  ROHM
ELISABETH  SELLARS
ELISABETH  SHUE			
ELISABETH  TAYLOR
ELISHA   CUTHBERT
ELLA JOYCE
ELLEN  BURSTYN
ELLEN PAGE
ELLIOT  GOULD
ELODIE  BOUCHEZ
ELODIE  YUNG
ELOISE  MUMFORD
ELVIS TSUI KAM KONG
ELSA ZYLBERSTEIN
ELZBIETA  CZYZEWSKA 
EMBETH  DAVIDTZ
EMILIA  FOX
EMILIE DUQUESNES
EMILIO ESTEVES
EMILY  BLUNT
EMILY BOOTH
EMILY  OSMENT
EMILY  WATSON
EMMA  CAUFIELD
EMMA DECAUSNES
EMMA  LUNG
EMMA  SAMMS
EMMA  THOMSON
EMMANUELL  AUGER  
EMMANUEL MOURRET
EMMANUELLE  BEART  (BEART  emmanuelle)
EMMANUELLE  BERCOT
EMMANUELLE  CERMAN
EMMANUELLE  DEVOS
EMMANUELLE VAUGIER
EMOTO AKIRA
ENDO  KENICHI
ENGIN  ALTAN  DUZYATAN
ENNIO  GIROLAMI
EOM  JEONG  HWA
ERCAN  KESAL
ERDAL BESIKCIOGLU
ERI   FUKATSU
ERI OTOGURO  (OTOGURO  ERI)
ERIC BALFOUR 
ERIC  BANA
ERIC CANTONA et  JOEL
ERIC  CARACAVA
ERIC  CHRISTIAN OLSEN
ERIC DANE
ERIC  EBOUANEY
ERIC  ELMOSNINO
ERIC  ET  RAMZY
ERIC  JOHNSON
ERIC  LAUGERIAS
ERIC  MC  CORMACK
ERIC  MARKUS  SHUETZ
ERIC  REITZ
ERIC  ROBERTS
ERIC  SAVIN
ERIC  STOLTZ
ERIC TSANG
ERIC VIELLARD
ERICA  LEEHRSEN
ERICH  VON STROHEIM
ERIKA  SAWAJIRI   
ERIN  CAHILL
ERLAND  JOSEPHSON 
ERNEST  BORGNINE
ERNO  CRISA 
ERROL  FLYNN
ERWIN LEDER
ESTELLA  WARREN
ETHAN EMBRY
ETHAN  HAWKE
EUGENE  LEVY
EUN  JEONG HAM
EUN  JUNG HA
EUN  SEO  WOO
EVA GREEN
EVA  LONGORIA
EVA  MENDES
EVAN RACHEL WOOD
EVE  MAURO
EVELYNE  BROCHU
EVGENY  TKACHUK
EWAN  MAC GREGOR



							FFFFFFFFFFFFFFFFFFFFF
FABIO  TESTI
FABRICE  LUCHINI
FAN Bing Bing
FAN   LIAO
FANNY VALETTE
FARAHANI GOLSHIFTEH  (GOLSHIFTEH  FARAHANI)
FARES FARES
FARLEY  GRANGER
FAYE  DUNAWAY
FERH ODED  (ODED  FERH)
FELE  MARTINEZ
FELICITY HUFFMAN
FELICITY JONES
FENYO   IVAN  
FEODOR   ATKINE
FERCH   HEINO 
FERNANDA  ROMERO
FERNANDEL  
FERRER  MEL
FERREIRA  LOUIS  	
FESS PARKER
FESSENDEN LARRY
FIENNES JOSEPH et ralph
FILIP  PEETERS
FIONA  GORDON
FISHBURNE    LAURENCE
FLEMMYNG JASON
FLORENCE GUERIN
FLORENCE  LOIRET  CAILLE
FLORENCE  MULLER
FLORENCE  PERNEL
FLORENCE THOMASSIN
FOREST WHITAKER
FOSTER  MEG  
FOX  MATTHEW
FOX  MICHAEL
FRAN  KRANZ
FRANCA  STOPPI
FRANCES MC DORMAND
FRANCESCA  ANNIS
FRANCIS  BLANCHE
FRANCIS NG
FRANCIS  PERRIN
FRANCISZEK  PIECZKA
FRANCISCO  RABAL
FRANCK   DUBOSC
FRANCO  CITTI
FRANCO  NERO
FRANCOIS BERLEAND
FRANCOIS CLUZET
FRANCOIS DAMIENS
FRANCOIS DEBORAH  (DEBORAH  FRANCOIS)
FRANCOIS  MARTHOURET
FRANCOIS MOREL
FRANCOIS NEGRET
FRANCOIS PERIER
FRANCOIS XAVIER DEMAISON
FRANCOISE  DORLEAC
FRANCOISE  LEBRUN
FRANCOISE  MICHAUD
FRANCOISE  ROSAY  (ROSAY  FRANCOISE)
FRANK  SILVERA
FRANCK  GRILLO
FRANCK  LATIMORE
FRANCK  LEBOEUF
FRANCK  RIDLEY
FRANCK  SINATRA
FRANCK  THIEL
FRANCK  WILCOX
FRANKA POTENTE
FRANKIE  MUNIZ
FRANKIE PAIN
FRASER LAURA
FRED  ASTAIRE
FRED  CLARK
FRED  TESTOT
FRED WARD
FREDDIE HIGHMORE
FREDDIE  JONES
FREDERIC  DIEFENTHAL
FREDERIC DORKEL
FREDERIC  SAUREL
FREDERIC  LAU
FREDERIC SCHMITT
FREDERIC VAN DEN DRIIESSCHE
FREDERICK  LAU
FREDRIC  MARCH
FREDERICO   LUPPI
FREEMAN  MARTIN
